t,count,p,min_prone_overlap,min_n_flights,min_util,int1,int2,int3,int4,n_potential_conflics,E[n_conflicts],total_remaining_conflicts,disruption_occured,recovered,value,prev_action,folder
1,5998,0.82,15.0,3,0.3235294117647059,45.0,1.2941176470588236,27.794117647058826,12.299999999999999,1.0,0.82,0,0,0.0,-22.34670075468157,"('swap', '12', '#5')",TRAIN7
2,4928,0.82,15.0,2,0.34375,30.0,0.90625,13.59375,15.0,1.2195121951219512,1.0,1,1,0.0,-25.0,"('swap', '15', '#2')",TRAIN7
3,2464,0.82,0,2,0.3,0,0.8666666666666667,0.0,0.0,0.0,0.0,0,1,1.0,-0.0,"('swap', '9', '#1')",TRAIN7
1,5998,0.85,0.0,1,0.11764705882352941,0.0,0.11764705882352941,0.0,0.0,2.0,1.7,0,0,0.0,-9.348900949755771,"('swap', '19', '#3')",TRAIN8
2,5594,0.85,0.0,2,0.171875,0.0,0.34375,0.0,0.0,1.0,0.85,0,0,0.0,-4.001567160189977,"('swap', '9', '#4')",TRAIN8
3,1780,0.85,0,1,0.25,0,0.3333333333333333,0.0,0,0.0,0,0,1,1.0,0,"('swap', '12', '#4')",TRAIN8
1,5986,0.74,15.0,2,0.25,30.0,0.5,7.5,11.1,1.0,0.74,0,0,0.0,-17.89912724650169,"('swap', '5', '#4')",TRAIN3
2,5980,0.74,15.0,2,0.359375,30.0,1.0625,15.9375,11.1,1.0,0.74,0,0,0.0,-18.074343488558377,"('none', 'none', 'none')",TRAIN3
3,2235,0.74,0,2,0.35,0,1.0333333333333334,0.0,0.0,0.0,0.0,0,1,1.0,-0.0,"('swap', '6', '#1')",TRAIN3
1,5938,0.51,15.0,2,0.23529411764705882,30.0,0.47058823529411764,7.0588235294117645,15.3,2.0,1.02,0,0,0.0,-31.461275250955975,"('swap', '1', '#4')",TRAIN4
2,5908,0.51,15.0,3,0.28125,45.0,0.84375,12.65625,7.65,1.0,0.51,0,0,0.0,-23.03400348243136,"('swap', '19', '#3')",TRAIN4
3,1490,0.51,0,2,0.4166666666666667,0,1.0333333333333334,0.0,0.0,0.0,0.0,0,1,1.0,-0.0,"('swap', '7', '#3')",TRAIN4
1,5850,0.89,45.0,1,0.1323529411764706,45.0,0.1323529411764706,5.955882352941177,40.05,1.0,0.89,0,0,0.0,-50.66626072545029,"('swap', '18', '#6')",TRAIN6
2,5634,0.89,45.0,1,0.140625,45.0,0.140625,6.328125,40.05,1.0,0.89,0,0,0.0,-50.128974175835175,"('none', 'none', 'none')",TRAIN6
3,5608,0.89,45.0,1,0.15,45.0,0.15,6.75,40.05,1.0,0.89,0,0,0.0,-48.217936930880484,"('none', 'none', 'none')",TRAIN6
4,303,0.89,0,1,0.16071428571428573,0,0.16071428571428573,0.0,0.0,0.0,0.0,0,0,0.0,-0.0,"('none', 'none', 'none')",TRAIN6
1,5998,0.64,30.0,2,0.23529411764705882,60.0,0.47058823529411764,22.058823529411768,19.2,1.0,0.64,0,0,0.0,-24.236009299560127,"('none', 'none', 'none')",TRAIN1
2,5998,0.64,30.0,2,0.25,60.0,0.5,23.4375,19.2,1.0,0.64,0,0,0.0,-23.789888620676567,"('none', 'none', 'none')",TRAIN1
3,5998,0.64,30.0,2,0.25,60.0,0.5,24.0,19.2,1.0,0.64,0,0,0.0,-23.60012543979527,"('none', 'none', 'none')",TRAIN1
4,5996,0.64,15.0,2,0.30357142857142855,45.0,0.8928571428571429,13.660714285714285,9.6,1.0,0.64,0,0,0.0,-14.122502397421789,"('swap', '23', '#3')",TRAIN1
5,1941,0.64,0,1,0.3269230769230769,0,0.38461538461538464,0.0,0,0.0,0,0,1,1.0,0,"('swap', '12', '#5')",TRAIN1
1,5998,0.66,30.0,2,0.4264705882352941,60.0,0.8529411764705882,25.588235294117645,39.6,2.0,1.32,0,0,0.0,-28.656648095806393,"('swap', '9', '#2')",TRAIN5
2,5998,0.66,15.0,2,0.3125,45.0,0.625,21.09375,9.9,1.0,0.66,0,0,0.0,-18.618037158582588,"('swap', '20', '#4')",TRAIN5
3,5940,0.66,15.0,2,0.2833333333333333,30.0,0.5666666666666667,11.0,9.9,1.0,0.66,0,0,0.0,-13.523905712675212,"('swap', '16', '#3')",TRAIN5
4,5940,0.66,0.0,2,0.23214285714285715,0.0,0.4642857142857143,0.0,0.0,1.0,0.66,0,0,0.0,-3.4415218465256143,"('swap', '3', '#5')",TRAIN5
5,5940,0.66,0.0,2,0.28846153846153844,0.0,0.5769230769230769,0.0,0.0,1.0,0.66,0,0,0.0,-3.6650404574205844,"('none', 'none', 'none')",TRAIN5
6,1377,0.66,0,1,0.3541666666666667,0,0.4166666666666667,0.0,0,0.0,0,0,1,1.0,0,"('swap', '1', '#2')",TRAIN5
1,5998,0.88,75.0,3,0.29411764705882354,225.0,0.8823529411764706,66.17647058823529,66.0,1.0,0.88,0,0,0.0,-143.9833469523312,"('swap', '9', '#5')",TRAIN11
2,2658,0.88,0,2,0.4375,0,0.96875,0.0,0.0,0.0,0.0,0,1,1.0,-0.0,"('swap', '1', '#4')",TRAIN11
1,932,0.57,60.0,1,0.07352941176470588,60.0,0.07352941176470588,4.411764705882353,34.199999999999996,1.0,0.57,0,0,0.0,-36.92426018046003,"('swap', '21', '#4')",TRAIN2
2,810,0.57,60.0,1,0.0625,60.0,0.0625,3.75,34.199999999999996,1.0,0.57,0,0,0.0,-35.79409014505652,"('none', 'none', 'none')",TRAIN2
3,760,0.57,60.0,1,0.06666666666666667,60.0,0.06666666666666667,4.0,34.199999999999996,1.0,0.57,0,0,0.0,-34.58200866441188,"('none', 'none', 'none')",TRAIN2
4,510,0.57,60.0,1,0.07142857142857142,60.0,0.07142857142857142,4.285714285714286,34.199999999999996,1.0,0.57,0,0,0.0,-34.1706956965655,"('none', 'none', 'none')",TRAIN2
5,510,0.57,60.0,1,0.07692307692307693,60.0,0.07692307692307693,4.615384615384616,34.199999999999996,1.0,0.57,0,0,0.0,-35.25351803233919,"('none', 'none', 'none')",TRAIN2
6,510,0.57,60.0,1,0.08333333333333333,60.0,0.08333333333333333,5.0,34.199999999999996,1.0,0.57,0,0,0.0,-40.31429126572869,"('none', 'none', 'none')",TRAIN2
